user,user,lat,long
192796997,192796997,42.35007192,174.74
194844686,194844686,40.7142,-74.0064
195540755,195540755,41.97751817,-87.6844
196851359,196851359,35.02992609,-80.85268021
198343949,198343949,33.0879,-81.31148804
199265753,199265753,32.90375817,-82.7346802
200680540,200680540,34.01654943,-81.080807
203930370,203930370,65.0171966,174.77649
216264473,216264473,33.84529,-84.3268
218612744,218612744,39.1764,-74.7339
220689884,220689884,40.20791488,-75.27608942
220857323,220857323,31.15,-81.5
221249443,221249443,41.86394493,-87.65775181
222723833,222723833,34.0522,-118.243
228832947,228832947,51.51788,3.2088349
231076143,231076143,42.4053,-81.2649
231860883,231860883,41.88,-88.2825
233044246,233044246,31.51066465,-82.75761954
236495358,236495358,40.76517,-73.9785057
242165607,242165607,35.32758761,-80.71198187
244427277,244427277,37.7877074,76.275
251780578,251780578,33.64075563,-81.311582
254515527,254515527,36.88564875,-76.0872
255137259,255137259,48.85838631,2.29455382
257660090,257660090,31.9753,-80.8914
257728261,257728261,34.10935815,-83.76234204
258680541,258680541,33.75944044,-81.3858
261279180,261279180,39.95088,-82.772748
261750666,261750666,37.2694,-112.948
261880369,261880369,34.1213,-81.32445697
269949036,269949036,42.3732858,-71.1197705
271461320,271461320,40.75062929,-73.8762563
272061794,272061794,35.74735504,-78.68477604
273667350,273667350,32.46191,-84.9954
274275156,274275156,43.0283,-87.897
275200896,275200896,47.4446,-122.302
286281555,286281555,40.0,69.0
293069219,293069219,43.5242,-61.45
296025027,296025027,35.51835,-80.93283
304710704,304710704,42.3578,-71.0617
304825340,304825340,40.76147952,-73.977177
311490210,311490210,40.7142,-74.0064
312368367,312368367,33.9814148,-84.2153931
318671530,318671530,39.29307,-84.257192
318738166,318738166,33.95793,-84.78842
321738483,321738483,39.87222484,-75.67536579
325716745,325716745,39.85174728,-75.06922221
325786388,325786388,53.5582102,7.7427894
327327574,327327574,37.5383,-77.4615
328662196,328662196,36.86777,-77.49541
334705174,334705174,53.3833,-2.6
337815766,337815766,42.77376,-71.08317
340413496,340413496,33.81253213,-81.51434261
342414950,342414950,33.9584404,-81.54791573
343197788,343197788,59.9155184,139.7353057
352384250,352384250,38.940161,-77.06073942
353455698,353455698,39.34371218,-84.26815864
359161566,359161566,41.40966654,-80.6319
361947500,361947500,33.4272499,-84.3696289
367176436,367176436,42.3821299,-82.93924
370339216,370339216,40.75839,-73.93015
370386760,370386760,40.910667,-73.93196324
378346867,378346867,41.10126979,-72.36069808
384070788,384070788,43.0522,-64.61871743
387074952,387074952,43.2553,-79.8731
388415711,388415711,36.09917138,-80.2410583
404311647,404311647,40.02831525,-75.66859735
418142435,418142435,40.29248257,-76.63316704
439712473,439712473,34.20074915,-118.243
454575747,454575747,34.2401619,-81.09192208
456320200,456320200,34.3360799,-83.5
459498801,459498801,40.9129763,-80.24707195
459837492,459837492,36.1059,-94.0087
463234294,463234294,40.8625292,-73.1333351
479006730,479006730,41.83622176,12.20118998
520045897,520045897,51.54610658,8.68204
549053130,549053130,40.75,-111.883
560709759,560709759,38.91342,-77.04518
564058294,564058294,33.71298825,-78.8839881
569528034,569528034,41.51,-81.61
580243379,580243379,40.7500342,-73.9859546
585859864,585859864,44.76431,-85.6123
586079037,586079037,31.57389212,-81.76398754
597724943,597724943,32.88968,35.23827
614769219,614769219,32.5891,-81.5045
619157050,619157050,41.95817907,-88.04002744
719262798,719262798,58.3514,-134.512
723978829,723978829,34.21581413,-84.3881
747585390,747585390,40.76244796,-73.97403356
760018086,760018086,33.8362,-117.89
760106538,760106538,34.13796724,-117.84210139
766622396,766622396,32.7833,-96.6099
817206547,817206547,46.5547,15.6467
838534374,838534374,51.81555556,-3.36731
847332498,847332498,31.2761,-82.7344
851909418,851909418,35.02641003,-90.7799698
863329134,863329134,40.49660688,-74.44128421
863414130,863414130,40.7523,-73.9178
865004280,865004280,41.0328,-81.2486
907218679,907218679,40.4136025,-86.8353708
908913499,908913499,38.7178,-90.1295
915913130,915913130,40.28137,-86.51218
947104639,947104639,38.53416667,-76.97333333
947702509,947702509,50.7961693,-1.10419
1005006012,1005006012,50.08615,14.4166
1019768658,1019768658,47.6064,-81.52895507
1027052353,1027052353,45.1351395,-92.8085966
1064837102,1064837102,33.75529817,-84.40094233
1131944035,1131944035,33.5371994,-111.88941352
1146610256,1146610256,41.86840909,-75.34528401
1210380811,1210380811,42.7689,-71.4664
1222103317,1222103317,35.9729,-83.9422
1258069598,1258069598,42.21428365,-83.35505918
1284655430,1284655430,44.85428684,-93.1242
1311004520,1311004520,40.0,-80.57788921
1329702426,1329702426,47.6064,-73.5833
1386163003,1386163003,41.14592387,-8.61466495
1422301194,1422301194,32.83786,-97.15992
1525291536,1525291536,40.0126607,-77.53854811
1569131191,1569131191,33.62666667,-95.34138889
1575920641,1575920641,41.65580947,-87.72402067
1577684868,1577684868,34.10202,-118.243
1587384890,1587384890,38.1933,-85.8159
1671923082,1671923082,43.8406499,-69.5095
1697176273,1697176273,40.75033976,-73.98735157
1723292875,1723292875,31.85466589,-81.71093212
1957877563,1957877563,42.1145,-80.0762
2195958012,2195958012,40.76264985,135.77138889
2200644752,2200644752,40.20978382,-74.00355284
2218472038,2218472038,40.8560576,-73.9103585
2275614387,2275614387,41.3833,2.18333
2329558784,2329558784,51.508039,-0.128069
2345720258,2345720258,42.06666667,-104.1825
2392792977,2392792977,32.3472,-81.3512
2419524883,2419524883,51.5167,7.21826
2495462443,2495462443,40.7142,-74.0064
2501861795,2501861795,38.6813,-77.3038
2504450426,2504450426,46.2009,6.13978
2544227706,2544227706,46.02691406,-93.57963903
2544250500,2544250500,48.76962954,-67.17446586
2561778673,2561778673,33.99735283,-80.38384934
2584103762,2584103762,39.9613113,-76.7247162
2771169904,2771169904,55.9494,-3.1603
2863762014,2863762014,32.7568,-98.9056
2882480701,2882480701,34.01487138,-84.55050393
2889113486,2889113486,38.5,-90.35
2900670171,2900670171,43.65684,-79.40726
2900924546,2900924546,41.892,-87.6342
2959294576,2959294576,40.001667,-78.4865
2989522946,2989522946,39.55432611,44.06251318
3124772446,3124772446,33.3156,-86.2289
3127786875,3127786875,43.33343778,-83.08097773
3240374689,3240374689,36.149,-86.812
3282019226,3282019226,32.706215,-80.12277603
3432791873,3432791873,37.8718992,-99.35
3734729356,3734729356,40.74593584,-73.84350331
4324611734,4324611734,36.1344,-82.21988432
4916456920,4916456920,51.50396186,116.13098145
789121649618587648,789121649618587648,33.599967,-83.17609
800394286151782400,800394286151782400,34.122249,-118.2044278
809640392689938432,809640392689938432,39.998,-75.1448
887531616209428480,887531616209428480,40.02327081,-74.5
14138214,14138214,-23.00124821,-43.36615019
16684366,16684366,-34.576175,-58.3767764
17389724,17389724,20.61388217,-103.683159
18308916,18308916,10.50072427,-84.43304961
22277880,22277880,-23.56129623,-46.71774435
33454567,33454567,23.16969,-82.19202
34199584,34199584,9.73333333,-85.01666667
39600569,39600569,18.36297723,-66.1136
40852427,40852427,17.9033,-62.83281835
42418374,42418374,19.42842518,-99.17058212
46722208,46722208,-15.79956433,-48.038345
54089005,54089005,-8.72880096,115.75689
56144415,56144415,19.45094681,-69.88473999
57188192,57188192,-23.598709,-46.6364951
61356353,61356353,9.98853212,-85.06666667
61360346,61360346,-22.90869834,-43.17831537
79889510,79889510,18.45,-64.7219
79897468,79897468,-2.17770154,-79.8766711
84567656,84567656,-22.66121852,-46.67595928
100849605,100849605,2.9372603,-75.2885904
109794200,109794200,19.45957308,-99.108464
118219725,118219725,-22.97374332,-43.20473672
133873077,133873077,-34.8236,-58.5289
153865176,153865176,18.45,-66.00008234
234544838,234544838,-33.04493872,-71.42217454
234868361,234868361,-23.55,-46.6333
249741369,249741369,-12.96205329,-38.43155673
389926117,389926117,17.95666667,-66.635
420526249,420526249,-26.03190367,28.0456
429292958,429292958,-22.91216667,-43.23016389
529752053,529752053,18.4608,-65.71666667
804714062,804714062,18.25182701,-65.73785885
873008552,873008552,-26.05749,28.06021
2267633525,2267633525,18.66375181,-68.39296695
