user,lat,long
3819851,33.932132,-84.180154
3830721,38.7178,-90.1295
6057882,35.76477876,140.3852383
7692442,38.96839953,-77.29315052
8560132,42.74552017,-82.97469041
9745112,41.5511,-81.4713
10104742,33.76150643,-82.34161
10524862,39.19854,-76.6688633
12727412,34.09544151,-81.51434261
14084098,33.8849297,-84.4648819
14219270,43.58654,-110.82918
14289249,35.64716278,140.0349215
14294095,33.7547349,-84.401975
14386940,42.8695353,-97.4917
14572625,35.68692982,-96.708943
15053876,43.78074786,114.1741406
15545303,33.15445367,-96.83527597
15646356,50.90077971,4.48478222
15691524,37.924841,-122.047
15762946,36.05250246,-79.53876132
15963497,40.1109,-83.73809088
16030189,40.74421,-73.98322
16744409,33.76088595,-84.38581684
16745759,42.03790128,-72.6151052
16813801,40.76763479,-74.045
16852970,38.34545723,-77.49876191
16988595,38.55709592,-117.71697
17116533,32.7833,-81.58044
17135453,40.70286,-74.01432
17273503,33.91662755,-98.4979764
17562073,32.80072398,-117.0024338
17642508,42.44462729,-73.24401312
17734782,43.72904374,-79.6081778
17923187,40.75863537,-73.778889
18071302,44.71666667,-73.97975636
18483704,45.5381,-80.0541
18538247,34.00120323,-84.35000393
18618872,51.5,-0.19
18641568,35.9335416,-86.3847072
18782908,41.8776207,-87.6189
19223245,34.96249583,-86.64401346
19569358,41,-77.5
19614746,40.6925,-74.1686
19626613,35.9729,-83.9422
19700923,33.76088595,-81.4733
19811386,39.179566,-76.67098761
19929207,40.85615532,-73.83847204
19947291,39.29744311,-94.51858884
20529586,40.7499014,-73.84643489
21019383,40.92394811,-72.24543962
21107458,45.2167,-78.6333
21198215,40.8169723,-73.9475088
21606895,45.275167,-66.0628942
22019970,32.86770812,-79.936944
22081631,40.82954,-73.92645
22218401,33.88990437,-84.46840525
22294866,42.80953085,-70.87752335
22682484,40.7142,-74.0064
22703382,40.7779,-73.95
22721539,45.37552799,-63.26883671
23007582,33.88990437,-84.46840525
23352100,34.07218088,-118.3584245
23354879,33.80696594,-117.8522162
23394258,33.98701783,-81.71472222
23609102,39.0042,-77.019
23735472,38.15573911,-85.72451429
23941676,38.91473,-90.45872043
24330129,40.74283,-73.98400828
24514995,35.05586,-84.2312
24755071,31.5093899,-82.3117
24777687,35.9700091,-81.151371
25055750,36.73477621,-76.08215321
25194878,33.55596242,-84.30753089
25202388,32.868758,-96.7726437
25205721,40.82954,-73.92645
25364287,40.75798,-73.98586
25380899,39.99809131,-81.51629
25508542,37.33731,-121.88635
25521458,40.82954,-73.92645
25726602,39.80162153,-86.12422216
26012373,42.3498859,-71.0793566
26493881,40.65637,-73.587
26818177,43.07272816,-76.21775866
27075440,36.0427842,-95.9627783
27455711,35.8936612,-75.9655114
27960839,31.55,-81.91
28161602,52.0418935,-0.2043
28193710,39.60048988,-104.796
28382741,43.6266,-87.64775
28725138,40.9197,-72.6751
28939258,48.8567,2.3508
29253539,33.76941,-84.74279
29260048,40.32830658,-76.7546117
29381220,40.6654052,-74.07148868
29854960,51.75372927,2.3508
29998633,32.394679,-81.8204051
30186596,39.5264,-75.5586
30212242,42.36394277,-71.01759754
30666289,35.765786,140.386347
30984346,40.16491645,-76.72008468
31465192,42.34614,-71.08998
31566497,42.0656,-87.80288351
32300069,40.7055043,-74.33417599
32329555,32.82180807,-97.45631842
32612108,43.9159,-78.9142
32808524,48.0008399,-122.208056
33454567,41.0264,-73.6289
33533387,39.85174728,-66.0667
33619826,32.14113838,-80.75102866
34199584,41.9,12.5
34432277,39.00171009,-76.58423424
34506051,41.94793496,-87.62819
34926548,32.85,-79.78
34934509,31.63,-81.38
35196855,47.6064,-84.26964
35228085,42.36589179,-71.0617
35245856,45.80777778,-108.5427778
35312717,38.66792841,-90.33075976
35471497,40.75909,-73.98762
35620284,35.78877,-78.78386
35820634,40.64777,-111.717
36138505,40.8149192,-73.9436715
37231623,42.35366,-83.05431
37591630,40.6897596,27.83436636
38044683,42.1395157,-87.9551348
38409012,46.06552,11.11476
38524660,40.77267262,-73.87200384
38632441,55.84956252,-4.19095268
39000820,40.70083,-73.89125
40256580,35.5,-80
40360183,40.7207559,-74.0007613
40852427,47.609005,-81.553131
40871203,36.2554604,-80.11785
41030101,42.68930131,-73.8482208
41339403,40.57007617,-79.96850438
41901869,42.3653383,-71.05684034
42074161,36.1328886,-86.7743549
42323552,44.98576366,-93.17438622
43002297,33.76088595,-81.53674897
43574503,32.19360821,-81.12584263
43879895,55.67809246,12.54524
45267662,32.4,-82.57
45425213,40.03877,-85.99916
45744330,40.25684117,-75.86891518
45956963,50,-79.288494
46277380,33.96,-84.03
46527987,43.77764546,-72.78161297
49789186,36.159035,-81.3758
49853576,39.0729223,-84.349116
50044888,35.70115266,-80
50168746,33.002136,-96.764826
50349194,41.96158374,-81.38147235
50612214,56.1572,12.64679238
50833221,40.7142,-74.0064
51191522,60.94988,7.10105
51595061,51.508039,2.3508
52609286,34.14997232,-83.81455045
53567477,42.10339,-81.466667
54089005,31.22378576,121.657
55450285,41.78236931,-75.53091061
55655141,36.58501394,-121.7530507
56805047,38.90655,-77.0367
57659482,39.90585946,-75.16648423
57732005,41.51102863,-81.60988312
57825035,40.78067282,-73.972216
58030028,42.7899537,-81.3337424
58408795,36.13194267,-80.0581105
58763514,40.9415,-73.8644
59305914,39.3947,-96.4142
59380673,42.27643722,-83.7399267
60125757,43.6819795,-79.61551815
60986994,48.8567,2.3508
61598615,51.47068445,16.5641429
61603572,40.41025,17.35723705
61703728,37.78785,-96.78369
62406311,40.1977,-85.3832
62451731,41.0333,-75.24
63211545,42.32139,-71.15591
64619379,32.95416052,-96.59595556
64694600,31.205115,-81.32364
64897205,32.63765359,-94.54757326
66023097,36.13579518,-80.2985
66810056,41.9448,-87.6306
67579851,33.5315,-77.53335
68331027,32.7833,-95.36725704
68469696,34.0879,-81.1924
68730213,41.65515713,-80.12403999
70019283,33.75784079,-80.18591
72189004,42.36648847,-71.01733636
75122903,36.1220839,-115.1680316
79319564,40.73956,-73.99409
82901665,39.01936888,-77.35495035
83997088,49.9167,-95.17829
85112431,33.51374124,-81.46764685
85735334,31.50851,-82.85017
86265662,40.7142,-74.0064
86605718,53.3833,-1.4667
89580607,40.4414,-59.56320218
89613166,41.925,-72.6886
91190097,39.37112079,-76.46509856
91694639,40.76271833,-73.98203875
92361572,38.65561,-90.2979
93953545,41.7626,-72.6886
98560979,43.7166,-79.3407
99191011,40.75839,-73.98644
100849605,48.94983,-75.28831186
101997403,35.33781634,-118.32704
103499220,43.68512549,-79.61551815
105018268,34.13827006,-118.3541488
108613846,39.75304983,-82.63761524
110306471,39.7534,-92.16476
111923875,43.6506,121.0381033
112586615,32.77530883,-96.75632564
113497119,40.97989807,-80.6319
113758005,33.9848911,-81.39192708
115411860,38.8951,-77.0367
117518527,38.8951,-77.0367
118825250,33.79208,-84.38819
119395548,35.6544,-78.8247
119796884,37.31309979,-121.791654
123356194,40.8836827,-73.8980527
124339670,38.72449223,-117.85273
124748458,35.01729699,135.6737736
129348336,31.2417,-82.3544
131912469,44.98426874,-93.22757254
133356665,34.5071537,-83.5941302
133691877,40.697,-74.2704
133864135,38.93967529,-76.8238218
138461376,40.6567,-74.5938
138608207,36.48863024,-82.32723577
139282460,33.641071,-80.27632713
144803849,41.8369,-87.6844
145312538,44.038,-63.85
149100718,40.9385,-72.86143104
149701795,45.76976,11.76780767
149926801,39.61666667,2.98333333
151918946,33.94284196,121.45
153097831,41.74224,-74.06997
154446053,36.7833,-6.35
155293922,41.49837465,-81.3758
158219561,40.07238409,-75.1246177
161052715,52.3838918,-1.49109837
161269274,33.87232752,-84.3647394
163126294,40.7142,-74.0064
163268913,39.62679,-74.19127
168939118,42.63409882,8.93917023
169609622,40.7142,-74.0064
173318132,39.373512,-76.462959
178453344,52.05232,1.16312
183125055,39.75642,-96.6099
186278396,38.84661773,-76.9464
190501756,40.833,-73.94261
192239481,40.9415,-73.8644
192756249,42.516845,-70.898503
194844686,40.7142,-74.0064
195432482,38.5410899,-77.32189
195977438,41.75654,-72.7
196851359,35.02992609,-80.79164948
198343949,33.074262,-80.670627
199265753,32.3615,-81.25461253
200680540,31.1786,-83.7619
200912141,40.2419,-75.5453
203930370,69.645941,176.9973871
209329305,31.6817,-96.4812
213760261,39.7073842,-75.5
214185712,33.0504,-96.7459
216052928,34.8563,-82.3331
