"","x"
"1607","496136747"
"1608","496656877"
"1609","599723845"
"1610","858884725"
"1611","1027052353"
"1612","1426814712"
"1613","1575920641"
"1614","2393257705"
"1615","3068933565"
"1616","763106134639144960"
"1617","786199529515134976"
"1618","802164139175145472"
"1619","893932512417853440"
"1620","4529591"
"1621","8560132"
"1622","14237766"
"1623","15646356"
"1624","16581162"
"1625","17356930"
"1626","22081631"
"1627","23099037"
"1628","24037362"
"1629","25205721"
"1630","32835696"
"1631","42049803"
"1632","43574503"
"1633","54361253"
"1634","68331027"
"1635","68838513"
"1636","97621337"
"1637","115586966"
"1638","119395548"
"1639","123221748"
"1640","125686894"
"1641","169948102"
"1642","187950948"
"1643","212553071"
"1644","220767856"
"1645","222808032"
"1646","228392464"
"1647","237732974"
"1648","269865906"
"1649","315359837"
"1650","416598737"
"1651","467992284"
"1652","549053130"
"1653","1242254743"
"1654","1258069598"
"1655","1381085028"
"1656","1386163003"
"1657","1685993527"
"1658","2443404055"
"1659","2698980415"
"1660","2771169904"
"1661","3217906564"
"1662","3349338733"
"1663","3394791759"
"1664","727299039151140867"
"1665","12993142"
"1666","15432266"
"1667","18038651"
"1668","26092469"
"1669","32464235"
"1670","50349194"
"1671","58225956"
"1672","60199500"
"1673","63517561"
"1674","67579851"
"1675","89874469"
"1676","113964190"
"1677","149951672"
"1678","163268913"
"1679","186094160"
"1680","239892269"
"1681","277175677"
"1682","291636487"
"1683","299443697"
"1684","334705174"
"1685","344234840"
"1686","355888528"
"1687","487085827"
"1688","487996189"
"1689","629045823"
"1690","705419154"
"1691","947702509"
"1692","1033229646"
"1693","1606602836"
"1694","2802566473"
"1695","2959294576"
"1696","4830041854"
"1697","714202471833419776"
"1698","807639076849483776"
"1699","19929207"
"1700","21952628"
"1701","22344024"
"1702","25830032"
"1703","26948119"
"1704","27960839"
"1705","35228085"
"1706","36421116"
"1707","36593815"
"1708","42910362"
"1709","58030028"
"1710","63733447"
"1711","85112431"
"1712","93336937"
"1713","103499220"
"1714","137091670"
"1715","139223055"
"1716","155293922"
"1717","165451183"
"1718","254838317"
"1719","345458298"
"1720","352384250"
"1721","462482551"
"1722","479006730"
"1723","483873242"
"1724","492698689"
"1725","507349410"
"1726","559375299"
"1727","713787166"
"1728","716527098"
"1729","811412269"
"1730","865004280"
"1731","954391104"
"1732","1157664210"
"1733","1411287702"
"1734","2900924546"
"1735","3095332996"
"1736","3960630979"
"1737","783324300820541440"
"1738","887531616209428480"
"1739","820303"
"1740","6057882"
"1741","10687942"
"1742","15189518"
"1743","15216679"
"1744","15428930"
"1745","16996035"
"1746","18068442"
"1747","18336648"
"1748","19223096"
"1749","19846132"
"1750","23626294"
"1751","43448057"
"1752","51595061"
"1753","70695758"
"1754","78970051"
"1755","79897468"
"1756","81991082"
"1757","121922354"
"1758","124748458"
"1759","161713532"
"1760","170167521"
"1761","181020982"
"1762","227891057"
"1763","259273436"
"1764","275200896"
"1765","293069219"
"1766","328662196"
"1767","367176436"
"1768","379319333"
"1769","389595333"
"1770","393575215"
"1771","571847231"
"1772","947792342"
"1773","1100020531"
"1774","1161416737"
"1775","1284655430"
"1776","1705563894"
"1777","2225921778"
"1778","2260993653"
"1779","2301465115"
"1780","2495462443"
"1781","2567113038"
"1782","2744330694"
"1783","3361858917"
"1784","714508372113035264"
"1785","729388605463007233"
"1786","896853616170020865"
"1787","14860731"
"1788","15314199"
"1789","15593444"
"1790","16089503"
"1791","17094140"
"1792","18946054"
"1793","19303478"
"1794","19382786"
"1795","19811386"
"1796","22037078"
"1797","22277880"
"1798","23535448"
"1799","23749258"
"1800","35151488"
"1801","45956963"
"1802","48588704"
"1803","50484883"
"1804","50833221"
"1805","56760257"
"1806","61360346"
"1807","66173585"
"1808","79050763"
"1809","80086096"
"1810","97357935"
"1811","98560979"
"1812","113758005"
"1813","115931886"
"1814","126886982"
"1815","137478168"
"1816","152846130"
"1817","170545610"
"1818","183233718"
"1819","186282028"
"1820","194844686"
"1821","195432482"
"1822","211893717"
"1823","238265353"
"1824","257699902"
"1825","274275156"
"1826","290755406"
"1827","296025027"
"1828","304427108"
"1829","337815766"
"1830","362838842"
"1831","387074952"
"1832","390766723"
"1833","422882499"
"1834","428723111"
"1835","451716895"
"1836","457870626"
"1837","499039959"
"1838","507792457"
"1839","630714306"
"1840","850258250"
"1841","1061324827"
"1842","1273621519"
"1843","1312355443"
"1844","1420704211"
"1845","1500217357"
"1846","1569131191"
"1847","1605961292"
"1848","1957877563"
"1849","2200644752"
"1850","2257049705"
"1851","2399495037"
"1852","2583269061"
"1853","2677513991"
"1854","2882480701"
"1855","4032708161"
"1856","4520029996"
"1857","733654827864104960"
"1858","807740278744514560"
"1859","841047795213701122"
"1860","10524862"
"1861","11241582"
"1862","16852970"
"1863","17106507"
"1864","20364570"
"1865","20527465"
"1866","23858443"
"1867","24136799"
"1868","32612108"
"1869","33593466"
"1870","34736184"
"1871","34926548"
"1872","35031496"
"1873","39283077"
"1874","41966056"
"1875","45267662"
"1876","50674759"
"1877","65891342"
"1878","69859768"
"1879","78664072"
"1880","79020487"
"1881","79889510"
"1882","88836305"
"1883","114055837"
"1884","115859359"
"1885","133873077"
"1886","151918946"
"1887","172732307"
"1888","184809706"
"1889","195275246"
"1890","199265753"
"1891","210186038"
"1892","231860883"
"1893","283432933"
"1894","284666803"
"1895","314701749"
"1896","318738166"
"1897","327032086"
"1898","329134024"
"1899","359003438"
"1900","384070788"
"1901","442431547"
"1902","554470734"
"1903","560709759"
"1904","793332252"
"1905","818226692"
"1906","1153509972"
"1907","2756910036"
"1908","3111802163"
"1909","3404803738"
"1910","3814208374"
"1911","719621510797897729"
"1912","803625319659732993"
"1913","838022229245980672"
"1914","16229673"
"1915","16684366"
"1916","20165431"
"1917","25854101"
"1918","28424711"
"1919","30011974"
"1920","30212242"
"1921","34199584"
"1922","34787622"
"1923","34934509"
"1924","50612214"
"1925","55038985"
"1926","56144415"
"1927","59721062"
"1928","89787037"
"1929","100849605"
"1930","166595216"
"1931","173318132"
"1932","213819946"
"1933","221249443"
"1934","225367254"
"1935","233070395"
"1936","324854313"
"1937","334998634"
"1938","378346867"
"1939","393681025"
"1940","409198454"
"1941","445155695"
"1942","454575747"
"1943","539468418"
"1944","564058294"
"1945","569722515"
"1946","988806174"
"1947","1232266873"
"1948","1265921022"
"1949","2177353136"
"1950","2181216193"
"1951","2303256373"
"1952","2401183563"
"1953","2432880330"
"1954","2850747932"
"1955","3127786875"
"1956","3236655064"
"1957","893952045912387584"
"1958","17116533"
"1959","17923187"
"1960","18140160"
"1961","23095477"
"1962","23999719"
"1963","25103866"
"1964","48696055"
"1965","50285772"
"1966","51368872"
"1967","51548759"
"1968","53567477"
"1969","60125757"
"1970","67525074"
"1971","109794200"
"1972","112978700"
"1973","118219725"
"1974","323591205"
"1975","405482567"
"1976","601071487"
"1977","620437399"
"1978","953919998"
"1979","1300230962"
"1980","1931678936"
"1981","2533666692"
"1982","2562136940"
"1983","2564443866"
"1984","3060270441"
"1985","4715358031"
"1986","771496658303610884"
