user,user,lat,long
8160512,8160512,39.9318,-104.82484
8313462,8313462,38.9490286,-77.0810994
8471112,8471112,37.7594,-77.43519
9774972,9774972,35.7789,-78.8002
12254152,12254152,39.07076778,-76.4837234
14305554,14305554,36.0202005,-75.66514493
15402455,15402455,40.72913,-73.9452
17521364,17521364,43.1655,-75.0
18076021,18076021,39.767,-104.966
18198004,18198004,39.14,-77.2
18569277,18569277,35.932,-75.5955315
19026027,19026027,40.941,-73.8351
19628221,19628221,39.525,-79.305
23997365,23997365,40.7146199,-73.96597
25897909,25897909,40.67586,-75.26258
26185126,26185126,40.6542,-106.42623782
28572930,28572930,39.4072648,-76.69460724
31580462,31580462,40.75763413,-73.98615819
32555708,32555708,34.1802,-118.328
34546833,34546833,61.8408,-104.673738
34924296,34924296,26.55,-66.04
37543253,37543253,38.878822,-77.282133
39937628,39937628,38.9483,-76.98057725
45919388,45919388,43.65385018,-79.38035131
47826014,47826014,40.3768,-80.0491
57988004,57988004,40.98542462,-75.19409375
64057515,64057515,36.175,-78.6446
66320861,66320861,35.26274,-75.56758
75460379,75460379,39.9975624,-75.8861228
94462943,94462943,34.8622,-76.3881
95285217,95285217,34.2217867,-0.00139475
100403637,100403637,36.085063,-75.65479056
118912806,118912806,39.79362867,-74.93073891
122402009,122402009,45.7646219,4.8422
127682811,127682811,41.81314676,-71.36643648
136380084,136380084,42.35599,-71.07123
150758689,150758689,37.23574697,-76.64522608
153234894,153234894,35.11277778,-75.97583333
156835831,156835831,35.42284225,-77.0791396
179123867,179123867,37.55222,-77.47763
259713506,259713506,37.53966,-77.55883
273348403,273348403,39.3254,-76.5012
276781594,276781594,42.3942833,-71.079361
316190992,316190992,40.7625,-73.9869
317340647,317340647,35.0315,-76.6923
333845149,333845149,36.0078,-75.7019
341623601,341623601,40.75057971,-73.99276111
341641295,341641295,39.4966,-76.3285
350516994,350516994,38.9644,-77.3181
353554231,353554231,41.4274712,-74.1671066
357675381,357675381,35.5,-76.708008
385899644,385899644,39.93245709,32.82917075
389926117,389926117,18.25015775,-66.28473654
405874317,405874317,38.42311295,-77.35632164
449076145,449076145,36.20002365,0.09974297
509163433,509163433,38.06716,-75.86483
556243047,556243047,40.2105,-75.45805556
617593004,617593004,40.94397583,-80.07903993
737819714,737819714,39.991,-75.797
770559404,770559404,38.4764,-78.659
772731404,772731404,43.05775,-89.40964
913238424,913238424,40.99559051,-74.00125616
956602764,956602764,40.75987811,-73.97975636
990176329,990176329,40.7565631,-74.0034466
991886918,991886918,40.31520375,-80.00010679
1009654759,1009654759,40.75057971,-73.985556
2151583411,2151583411,36.0203094,-75.6433868
2235202646,2235202646,33.92444444,-78.02055556
2312386578,2312386578,38.80472222,-77.04722222
2706333926,2706333926,38.8647,-77.8578
2878157795,2878157795,36.49264578,-76.16557818
3104136063,3104136063,35.3453,-78.7925
4460389937,4460389937,36.0203094,-75.7198486
