user,user,lat,long
8160512,8160512,36.61242,-116.1638702
8313462,8313462,38.90854182,-76.86447065
8471112,8471112,37.6756,-77.5172
9774972,9774972,35.84792,-78.8002
15402455,15402455,41.95,-73.99976
17521364,17521364,43.1655,-75.0
18198004,18198004,37.459662,-79.25354278
18569277,18569277,35.97805131,-75.63600992
31580462,31580462,40.72031,-73.99702
32124624,32124624,35.5667,-75.4689
32555708,32555708,34.14393,-117.87905709
34924296,34924296,18.19,-66.31
35148553,35148553,40.42921649,-79.77557
39937628,39937628,38.91368,-77.01242
57988004,57988004,40.98542462,-75.19409375
64057515,64057515,35.8188,-78.6409
66320861,66320861,35.26274,-75.5206993
70489428,70489428,38.9052,-77.0266
71697630,71697630,40.55813044,-74.29400753
94462943,94462943,34.8622,-76.3881
100403637,100403637,36.8857,-75.6151
122402009,122402009,36.09989,-80.23846095
127682811,127682811,41.79769,-71.36381
156835831,156835831,35.18258984,-76.66546379
166611917,166611917,37.41183488,-79.13708855
259713506,259713506,37.53966,-77.55883
273348403,273348403,36.2419,-75.86483
341641295,341641295,38.7894,-77.5889
385899644,385899644,43.77247095,32.82917075
405874317,405874317,41.78542507,-87.75082827
449076145,449076145,36.10569049,-75.70258898
509163433,509163433,36.2025099,-75.86483
529752053,529752053,42.36255,-71.193273
556243047,556243047,40.1853,-75.2296
770559404,770559404,38.4764,-78.86905
945742712,945742712,41.22504949,-86.78506136
1453127485,1453127485,41.92783,-74.00084
2878157795,2878157795,36.49264578,-76.16557818
3104136063,3104136063,35.3453,-78.7925
4460389937,4460389937,36.03519,-75.67244
869968800850083843,869968800850083843,34.7976,-76.45742
