user,user,lat,long
8160512,8160512,38.9258,-77.45791
8313462,8313462,39.1212,-77.1294
8471112,8471112,37.855602,-76.78476526
9774972,9774972,42.57677896,-78.79302215
12254152,12254152,39.0473,-76.4966
15402455,15402455,41.97609845,-73.94456115
17521364,17521364,43.13005736,-77.52010047
18198004,18198004,39.32435,-76.61042
18569277,18569277,35.932,-75.6151
19026027,19026027,40.7266199,-74.00214
19628221,19628221,39.6501185,-79.95526415
20008979,20008979,40.15284192,-74.81151859
23997365,23997365,72.0,-40.0
26185126,26185126,41.57516779,-111.5
26904756,26904756,26.95896155,-80.08447089
31580462,31580462,44.0142,-73.0286
32555708,32555708,34.36801536,-117.66071974
34546833,34546833,61.8408,-140.999
35148553,35148553,40.44424295,-79.99489605
37543253,37543253,38.8465812,-77.4258611
39937628,39937628,38.9483,-76.9670055
40023094,40023094,38.7551,-77.2961
45919388,45919388,43.67969,-79.380015
57988004,57988004,40.9785003,-75.2217937
64057515,64057515,36.37637736,-75.5206993
66320861,66320861,35.26274,-75.56758
71697630,71697630,40.50016736,-74.34742841
76260582,76260582,18.41110516,-66.06026017
94462943,94462943,35.0915489,-76.51959715
95285217,95285217,39.55018929,-75.05012777
100403637,100403637,36.8857,-75.64266702
118912806,118912806,39.79985,-74.9305496
122402009,122402009,36.09984391,-80.23846095
126112937,126112937,35.98021676,-78.91339023
127682811,127682811,41.8258561,-71.4302163
132898650,132898650,40.87291262,-74.39945698
153234894,153234894,35.827422,-75.557313
156835831,156835831,35.18388889,-76.66805556
173475901,173475901,35.60796,-77.37416
181786670,181786670,36.0957,-76.6923
247445347,247445347,36.08,-78.28
259713506,259713506,37.53966,-77.55883
273348403,273348403,41.84666667,-77.83722222
276781594,276781594,42.394444,-71.0627
317340647,317340647,35.0315,-76.6923
341623601,341623601,40.75162,-74.00147
341641295,341641295,38.742,-77.5227
350516994,350516994,37.54842152,80.859375
353554231,353554231,41.52004935,-74.07094002
357675381,357675381,39.334,-76.4405
405874317,405874317,38.35203,-76.0872
449076145,449076145,36.10569049,-75.78148761
509163433,509163433,36.2025099,-75.86483
529752053,529752053,42.54274687,-71.44505978
556243047,556243047,40.3204,-75.4809797
617593004,617593004,40.54892,-79.985
737819714,737819714,39.9836,-75.8166
770559404,770559404,38.4764,-78.86905
772731404,772731404,43.04675479,-89.40964
913238424,913238424,40.943318,-74.060304
945742712,945742712,21.05491597,-86.78506136
991886918,991886918,40.3553,-75.5108
1009654759,1009654759,40.78487,-73.64882
1064647765,1064647765,39.997578,-83.01018
2151583411,2151583411,36.0203094,-75.6433868
2196668954,2196668954,38.43483099,-78.87221487
2235202646,2235202646,34.23604023,-77.94302825
2312386578,2312386578,36.8345,-76.0872
2706333926,2706333926,38.8661,-77.8447
2878157795,2878157795,36.49264578,-76.16557818
2970019484,2970019484,38.8803,-77.1083
3104136063,3104136063,35.3453,-78.7925
4460389937,4460389937,35.97567,-75.60380861
869968800850083843,869968800850083843,34.7976,-76.45742
