user,user,lat,long
8160512,8160512,44.46550488,-105.066
8471112,8471112,37.72,-77.93
9774972,9774972,35.7789,-78.8002
14305554,14305554,39.85828722,-75.42374714
15402455,15402455,40.7267685,-74.0451
17521364,17521364,43.158267,-77.52010047
18198004,18198004,39.35603795,-76.33374
19026027,19026027,40.77336949,-73.98280885
19628221,19628221,39.71867,-76.84478
20008979,20008979,40.15330613,-74.8097795
23997365,23997365,40.7407196,-73.955556
28572930,28572930,39.33235087,-76.61698813
31580462,31580462,41.09194444,-72.7499799
32124624,32124624,-17.84416803,177.18339084
32555708,32555708,34.1722,-118.2544098
34546833,34546833,39.4211,-104.792
34924296,34924296,18.38,-65.72
37543253,37543253,38.8551,-77.2933
39937628,39937628,38.9483,-76.9858
42822503,42822503,30.245,-97.799
45919388,45919388,43.63758333,-79.53555556
57988004,57988004,40.98849931,-75.1892066
64057515,64057515,35.79805879,-78.70827968
70489428,70489428,39.4017,-76.6003
71697630,71697630,40.7142,-74.0064
94462943,94462943,35.9239,-76.52706774
95285217,95285217,50.08969444,-80.84976196
100403637,100403637,36.09825744,-75.65479056
113935507,113935507,37.42288,-77.647779
118912806,118912806,39.70645999,-75.24935989
122402009,122402009,48.88751,4.854167
156835831,156835831,35.14274,-76.83829
179123867,179123867,37.55222,-77.47763
181786670,181786670,35.9035,-78.7138
190281474,190281474,40.44579619,-79.99991828
247445347,247445347,35.62104119,-77.41736786
259713506,259713506,37.54189,-77.43519
268122276,268122276,41.5233,-74.2368
273348403,273348403,36.91003,-75.86483
276781594,276781594,42.40576558,-71.06797271
341623601,341623601,41.64757065,-73.81062324
341641295,341641295,38.9661,-75.0761
353554231,353554231,41.02988,-73.7618
357675381,357675381,38.88024291,-76.98
405874317,405874317,39.145275,-76.20479822
449076145,449076145,36.10569049,-75.8037213
529752053,529752053,42.47332201,-70.9432469
556243047,556243047,40.1856,-75.2532
617593004,617593004,41.92135773,-87.63355005
770559404,770559404,38.4764,-78.86905
772731404,772731404,43.0332,-89.40964
804714062,804714062,18.25182701,-65.73785885
913238424,913238424,41.510195,-74.086871
991886918,991886918,40.4112206,-79.9557877
1009654759,1009654759,40.7657275,-74.02149181
2151583411,2151583411,36.0203094,-75.6433868
2196668954,2196668954,38.43483099,-78.87221487
2312386578,2312386578,38.89,-76.0872
2706333926,2706333926,38.8661,-77.8447
2878157795,2878157795,36.49264578,-76.16557818
2970019484,2970019484,38.8951,-77.0367
3027515319,3027515319,35.9639,-78.1917
3104136063,3104136063,35.3453,-78.7925
3431709107,3431709107,40.75823,-73.98836
4460389937,4460389937,35.59093103,-77.34508762
869968800850083843,869968800850083843,34.7976,-76.45742
